user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
elonmusk,@dogeofficialceo @TomFitton 🤔,8062,534,2022-11-13,,0.0,0.0
elonmusk,@TomFitton 🤔 https://t.co/XpH56PxLgm,44105,12449,2022-11-13,,0.0,0.0
elonmusk,@lexfridman I think you’re great,50126,1408,2022-11-13,i think you re great,0.8,0.75
elonmusk,@Tattytats @AmoneyResists I can’t tell,17930,404,2022-11-13,i can t tell,0.0,0.0
elonmusk,@nichegamer Especially bizarre given that almost no one came to the office. Estimated cost per lunch served in past 12 months is &gt;$400.,115738,8501,2022-11-13,especially bizarre given that almost no one came office estimated cost per lunch served past 12 months is gt 400,0.275,0.625
elonmusk,@micsolana 🤣,7552,274,2022-11-13,,0.0,0.0
elonmusk,"@HSajwanization I hope they keep cursing me on Twitter, as it increases advertising revenue!",120625,6945,2022-11-13,i hope they keep cursing me twitter as it increases advertising revenue,0.0,0.0
elonmusk,@219_eth 🧐,22569,1074,2022-11-13,,0.0,0.0
elonmusk,@dennishegstad We will enable organizations to manage affiliations,6313,265,2022-11-13,we will enable organizations manage affiliations,0.0,0.0
elonmusk,"@engineers_feed Output of any company is the vector sum of people within it. Someone may be a strong vector, but negatively affect those around them to such a degree that they are a net negative.",35394,2748,2022-11-13,output any company is vector sum people within it someone may be strong vector but negatively affect those around them such degree that they are net negative,-0.03333333333333334,0.4066666666666666
elonmusk,"Btw, I’d like to apologize for Twitter being super slow in many countries. App is doing &gt;1000 poorly batched RPCs just to render a home timeline!",170457,11119,2022-11-13,btw i d like apologize twitter being super slow many countries app is doing gt 1000 poorly batched rpcs just render home timeline,0.0333333333333333,0.5416666666666666
elonmusk,@jessica_kirsh @SpaceX @TeslaAIBot @Tesla Cool :),6883,270,2022-11-13,cool,0.35,0.65
elonmusk,"@johnkrausphotos Ultimately, I think there is no choice but for Twitter to be the final arbiter, but I’m open to suggestions",10088,402,2022-11-13,ultimately i think there is no choice but twitter be final arbiter but i m open suggestions,0.0,0.8333333333333334
elonmusk,"Rolling out soon, Twitter will enable organizations to identify which other Twitter accounts are actually associated with them",229028,17672,2022-11-13,rolling out soon twitter will enable organizations identify which other twitter accounts are actually associated with them,-0.0625,0.2375
elonmusk,@D4VIDBRAVO Coming soon,2410,108,2022-11-13,coming soon,0.0,0.0
elonmusk,"@sama Amphetamines negatively affect empathy, psychedelics do the opposite",31937,2657,2022-11-13,amphetamines negatively affect empathy psychedelics do opposite,-0.15,0.2
elonmusk,@People4Bernie @SenMarkey @washingtonpost Are you suggesting the Senator will abuse his political power to attack me?,43023,4165,2022-11-13,are you suggesting senator will abuse his political power attack me,0.0,0.1
elonmusk,@BillyM2k Twitter rocks,27986,1652,2022-11-13,twitter rocks,0.0,0.0
elonmusk,@muratpak @archillect What matters is that you love them,25110,1402,2022-11-13,what matters is that you love them,0.5,0.6
elonmusk,Twitter feels increasingly alive,560428,34794,2022-11-13,twitter feels increasingly alive,0.1,0.4
elonmusk,"@JohnLegere @HolyKnightKeith @Twitter @MikeSievert @TMobile I like both you and Mike! It’s just that Twitter at its core is a software &amp; servers company. The technology needs to evolve rapidly, which requires a technologist.",7461,388,2022-11-13,i like both you mike it s just that twitter at its core is software amp servers company technology needs evolve rapidly which requires technologist,0.0,0.0
elonmusk,@JohnLegere @Twitter No,246645,8268,2022-11-13,no,0.0,0.0
elonmusk,"@TomFitton SBF was a major Dem donor, so no investigation",128753,22067,2022-11-13,sbf was major dem donor so no investigation,0.0625,0.5
elonmusk,@dogeofficialceo @SenMarkey @washingtonpost 🤣🤣,9784,265,2022-11-13,,0.0,0.0
elonmusk,@SenMarkey @washingtonpost And why does your pp have a mask!?,58643,3985,2022-11-13,why does your pp have mask,0.0,0.0
elonmusk,@SenMarkey @washingtonpost Perhaps it is because your real account sounds like a parody?,229882,14150,2022-11-13,perhaps it is because your real account sounds like parody,0.2,0.30000000000000004
elonmusk,@BLKMDL3 @DirtyTesLa @WholeMarsBlog Rollout will broaden roughly every week,3489,197,2022-11-13,rollout will broaden roughly every week,-0.1,0.4
elonmusk,@ID_AA_Carmack Fond memories,9078,400,2022-11-13,fond memories,0.0,0.0
elonmusk,@TaraBull808 🤣💯,25007,928,2022-11-13,,0.0,0.0
